relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber,inventorNameText,citedDocumentIdentifier
"1-2,5-6,9-10,13-14,17-18,21-22,25-26,29-30,35-38",2021-03-04,ETL_SYS,False,A1,False,2460,16090169,CTNF,2469,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|section 102|line 3|lines 17-18 and 22-23|figure 3)|figures 4 and 7|claim 1|claims 9, 17|c. 112|line 2|lines 15-16|figure 7|claim 2|claims 10, 18|lines 1-3|figure 5)|claim 9|claims 14, 22|claim 5|claims 1-2, 5-6, 9-10, 13-14, 17-18, 21-22, 25-26, 29-30 and 35-38|claim 6|claims 1, 9, 17|claim 30|claims 2, 10, 18|claim 37|claim 35|claim 38|claim 36']",KLSCDQ16LDFLYX9,70828ed8885cf053bd49ad3891275be1,X,True,20110128909,Luo; Xiliang,US 20110128909 A1
"4-5,7,10,15-20",2020-04-03,ETL_SYS,False,,False,2430,15896676,CTNF,2431,AOK,2025-01-13 14:32:11,2400,,,K8HJZPMDRXEAPX5,e1d624cf119e5fb2021bf6fe213e2711,X,False,,,
1-20,2024-02-29,ETL_SYS,False,,False,2440,18363276,CTNF,2446,AOK,2025-01-13 14:32:11,2400,,['f.3d|claim 1|claims 1-20|f.2d|claim 3|claims 1-30'],LT4M79YAXBLUEX6,0a01e13a26d16a6a826f247042d5b5df,X,False,,,
1,2024-06-21,ETL_SYS,False,A1,False,2410,18473550,CTNF,2413,AOK,2025-01-13 14:32:11,2400,US,"['c. 102 and 103|section 102|l1|line 7|fig. 2|figs. 3a|f.3d|claim 18|claims 1-8 and 10-20|c. 103|figs. 2a|f.2d|claim 5|claims 1-2, 4-8 and 11-20|f 8:00am|claim 10|claims 11-20|claim 1|claims 4-5 and 7-9|claim 6|claims 16 and 17|claim 3|claims 1-3|claim 4|claim 2']",LXKR9RBZXBLUEX3,16b8e7c1a608677e90438f76b10775ba,X,True,20190109699,LIU; Le,US 20190109699 A1
1-20,2024-06-21,ETL_SYS,False,,False,2410,18473550,CTNF,2413,AOK,2025-01-13 14:32:11,2400,,"['c. 102 and 103|section 102|l1|line 7|fig. 2|figs. 3a|f.3d|claim 18|claims 1-8 and 10-20|c. 103|figs. 2a|f.2d|claim 5|claims 1-2, 4-8 and 11-20|f 8:00am|claim 10|claims 11-20|claim 1|claims 4-5 and 7-9|claim 6|claims 16 and 17|claim 3|claims 1-3|claim 4|claim 2']",LXKR9RBZXBLUEX3,1e949a38c13c9876bf3bf01449a518f5,X,False,,,
1,2024-06-21,ETL_SYS,False,A1,False,2410,18473550,CTNF,2413,AOK,2025-01-13 14:32:11,2400,US,"['c. 102 and 103|section 102|l1|line 7|fig. 2|figs. 3a|f.3d|claim 18|claims 1-8 and 10-20|c. 103|figs. 2a|f.2d|claim 5|claims 1-2, 4-8 and 11-20|f 8:00am|claim 10|claims 11-20|claim 1|claims 4-5 and 7-9|claim 6|claims 16 and 17|claim 3|claims 1-3|claim 4|claim 2']",LXKR9RBZXBLUEX3,73fbe654a9ab4eeb3a7e19f0abb8d1eb,X,True,20230171757,GAO; Kang,US 20230171757 A1
"1,5-9,12-14,16-18,22-26,29-36",2021-06-11,ETL_SYS,False,,False,2470,16809406,CTNF,2477,AOK,2025-01-13 14:32:11,2400,,,KPPKV17LLDFLYX9,ee4dfd6dbbda09b23c6dd1bffbed1047,X,False,,,
14-17,2023-03-29,ETL_SYS,False,,False,2460,17350679,CTNF,2468,AOK,2025-01-13 14:32:11,2400,,"['par 0101|c. 103|claim 1|claims 1 and 10|claim 3|claims 2, 3, 5, 7, 8 and 11-16|claim 5|claims 14-17|claims. 11|par 0101|c. 103|claim 1|claims 1 and 10|claim 3|claims 2, 3, 5, 7, 8 and 11-16|claim 5|claims 14-17|claims. 13']",LFRDO4DMXBLUEX0,e71f718ddf5510933f6c954f772f6485,X,False,,,
"1-2,4,16-17,19-21,23-25,27",2024-10-15,ETL_SYS,False,A1,False,2470,17297825,CTFR,2476,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [0092]|paragraphs [0032-0033]|c. 102 and 103|section 102|lines 4-5|claim 20|claims 1-4 and 16-27|paragraph [0098]|c. 103|section 151|claim 25|claims 16, 20|paragraph [0102]|c. 112|section 122|claim 17|claims 17, 21|paragraph [0088]|c. 102|claim 1|claims 1, 16, 20|paragraph [0090]|claim 3|paragraph [0103]|claim 26|paragraph [0011])|claim 24|paragraph [0075]|claim 2|claim 4']",M23LGD7AWFYGX53,52d26a9b856be8af8f77e8541f084c1f,X,True,20200036480,YANG; Wei,US 20200036480 A1
"1-4,16-27",2024-10-15,ETL_SYS,False,,False,2470,17297825,CTFR,2476,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0092]|paragraphs [0032-0033]|c. 102 and 103|section 102|lines 4-5|claim 20|claims 1-4 and 16-27|paragraph [0098]|c. 103|section 151|claim 25|claims 16, 20|paragraph [0102]|c. 112|section 122|claim 17|claims 17, 21|paragraph [0088]|c. 102|claim 1|claims 1, 16, 20|paragraph [0090]|claim 3|paragraph [0103]|claim 26|paragraph [0011])|claim 24|paragraph [0075]|claim 2|claim 4']",M23LGD7AWFYGX53,7d21ac8adaf3e80a6e6ece1594566b92,X,False,,,
"1,3-30",2024-02-23,ETL_SYS,False,,False,2410,18053937,CTNF,2412,AOK,2025-01-13 14:32:11,2400,,"['paragraph: 581|c. 103|section 102|figure 1)|figures 2 and 5|claim 12|claims 6 and 17|c. 112|section 151|figure 1|claim 26|claims 9 and 23|c. 102|section 122|claim 9|claims 21 and 22|claim 2|claims 20 and 24|claim 30|claims 11 and 13|claim 1|claims 7, 18, 21 and 22|claim 3|claims 1 and 10|claims 1, 3-10, 12-30|claims 8 and 19|claims 7 and 18|claims 28 and 29|claims 3 and 14|claims 4, 5, 15 and 16|claims 4 and 15)']",LSVSCE6WBLUEX12,3b7941a5f63af480e1ad8686547ecdba,X,False,,,
"1,3-8,10-22,24-30",2024-02-23,ETL_SYS,False,A1,False,2410,18053937,CTNF,2412,AOK,2025-01-13 14:32:11,2400,US,"['paragraph: 581|c. 103|section 102|figure 1)|figures 2 and 5|claim 12|claims 6 and 17|c. 112|section 151|figure 1|claim 26|claims 9 and 23|c. 102|section 122|claim 9|claims 21 and 22|claim 2|claims 20 and 24|claim 30|claims 11 and 13|claim 1|claims 7, 18, 21 and 22|claim 3|claims 1 and 10|claims 1, 3-10, 12-30|claims 8 and 19|claims 7 and 18|claims 28 and 29|claims 3 and 14|claims 4, 5, 15 and 16|claims 4 and 15)']",LSVSCE6WBLUEX12,ed7276413ff98c7148b6cd4ca3001e5d,X,True,20150065121,GUPTA; Parul,US 20150065121 A1
1-15,2020-12-16,ETL_SYS,False,,False,2490,16316306,CTNF,2493,AOK,2025-01-13 14:32:11,2400,,"['para. 16 and 35)|col. 11|c. 103|line 61|lines 9-27)|fig. 6|claim 2|claims 1-5|para. 78)|col. 12|c. 112|line 2)|lines 22-41)|fig. 1b|claim 1|claims 1-15|para. 24)|col. 57|fig. 5)|claim 6|claims 1-20|para. 28|col. 18|claim 4|claims 6-10|para. 26-27)|claim 3|claims 12, 13 and 15|claim 9|claims 1|claim 7|claim 8|claim 5']",KIOVTKBWLDFLYX9,7d034d1cc8d51c382b975271a0ff20e7,X,False,,,
"1,3-16,21,30,37,46",2021-05-03,ETL_SYS,False,,False,2420,16788976,CTNF,2424,AOK,2025-01-13 14:32:11,2400,,"['paragraph 56|par. 25 and 62)]|c. 101|fig. 4|claim 1|claims 7, 22|par. 30-31)|c. 103|fig. 1)]|claim 3|claims 3, 18|par. 10 and 57)]|claims 4, 19|par. 24)|claims 13, 28|par. 17)]|claims 16, 31|par. 147)|claims 6, 15, 21, 30, 37|par. 17)|claims 15, 30|par. 48-49)]|claims 1 and 3-16|par. 3)]|claims 6, 21|par. 62)|claims 1-3, 5, 7-8, 10-14, 16-18, 20, 22-23, 25-29, 31-34, 36, 38-39|par. 23, 25|claims 9, 24|par. 56-57)]|claims 12, 27|par. 48, 51|claims 14, 29|claims 11, 26|claims 1, 17|claims 5, 20|claims 3-16|claims 10, 25|claims 8, 23|claims 2 and 33|paragraph 56|par. 25 and 62)]|c. 101|fig. 4|claim 1|claims 7, 22|par. 30-31)|c. 103|fig. 1)]|claim 3|claims 3, 18|par. 10 and 57)]|claims 4, 19|par. 24)|claims 13, 28|par. 17)]|claims 16, 31|par. 147)|claims 6, 15, 21, 30, 37|par. 17)|claims 15, 30|par. 48-49)]|claims 1 and 3-16|par. 3)]|claims 6, 21|par. 62)|claims 9, 24|par. 23, 25|claims 1-3, 5, 7-8, 10-14, 16-18, 20, 22-23, 25-29, 31-34, 36, 38-39|par. 56-57)]|claims 12, 27|par. 48, 51|claims 14, 29|claims 11, 26|claims 1, 17|claims 5, 20|claims 3-16|claims 10, 25|claims 8, 23|claims 2 and 33']",KO3E20XQLDFLYX5,753edc13964506ef9653e2e1b116cc71,X,False,,,
"1-12,14-17",2023-02-03,ETL_SYS,False,,False,2480,16971948,CTNF,2486,AOK,2025-01-13 14:32:11,2400,,"['para: 0054|c. 112|section 102|fig. 3]|figs. 1 and 2)|claim 4|claims 8, 9 and 12|para: 0055|c. 103|fig. 3|claim 3|claims 16 - 17|para: 0069|c. 102|fig. 2|claim 5|claims 1|para: 0070|fig. 4|claim 11|para: 0011|claim 6|para: 0038 and 0040]|claim 1|para: 0038|claim 7|para: 0071|claim 2|para: 0040']",LDLNKSE6XBLUEX5,547fed26052a5b56d85fdfb1c3e98871,X,False,,,
"3,10",2024-09-05,ETL_SYS,False,A1,False,2480,18030815,CTNF,2486,AOK,2025-01-13 14:32:11,2400,US,['c. 102 and 103|section 102|claim 18|c. 103|section 151|claim 1|c. 102|section 122|claim 3|claim 2|claim 7|claim 6|claim 4|claim 5|claim 8|claim 9'],M0MKE087WFYBX91,d700146f599b9970f3fc6568f03ad470,X,True,20210005016,OH; Sejin,US 20210005016 A1
"7,14-17",2024-09-05,ETL_SYS,False,A1,False,2480,18030815,CTNF,2486,AOK,2025-01-13 14:32:11,2400,US,['c. 102 and 103|section 102|claim 18|c. 103|section 151|claim 1|c. 102|section 122|claim 3|claim 2|claim 7|claim 6|claim 4|claim 5|claim 8|claim 9'],M0MKE087WFYBX91,8cd50ad4c7d6756d5b20ff229d81f6f0,X,True,20190087979,Mammou; Khaled,US 20190087979 A1
1-20,2024-08-16,ETL_SYS,False,,False,2480,18132149,CTNF,2484,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0100]|paragraphs [0105]-[0106]|page 19|pages 11-12|c. 103|section 102|fig. 2b|claim 9|claims 1-20|paragraph [0101]|page 22|c. 102 and 103|claim 2|claims 1, 8|paragraph [0096]|page 18|claim 11|paragraph [0133]|claim 4|paragraph [0109]|claim 18|paragraph [0217]|claim 3|paragraph [0073]|claim 1|paragraph [0099]|claim 7|claim 6|claim 5|claim 8']",LZU044LOWFYBX90,6cce1c8f919f180b08d9d7ee1edb371f,X,False,,,
"1,3-9,11-18",2023-03-07,ETL_SYS,False,,False,2420,17369072,CTFR,2424,AOK,2025-01-13 14:32:11,2400,,['c. 103|claims 2 and 10'],LESQT8S2XBLUEX2,1ed1a184d915b7626c1c36468c0839c9,X,False,,,
"2,10",2023-03-07,ETL_SYS,False,A1,False,2420,17369072,CTFR,2424,AOK,2025-01-13 14:32:11,2400,US,['c. 103|claims 2 and 10'],LESQT8S2XBLUEX2,0f963718f6d3c33abecbc74213cf0209,X,True,20180191857,Schooler; Richard,US 20180191857 A1
1-20,2024-05-16,ETL_SYS,False,,False,2440,17498037,CTFR,2449,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0014]|page 29|c. 103|section 102|line 5-8|claim 14|claims 1-20|paragraph [0027]|page 155|line 1-5|claim 4|claims 1, 5, 8, 12, 15|paragraph [0058]|line 1-8)|claim 18|paragraph [0004])|claim 6|paragraph [0039]|claim 1|paragraph [0010]|claim 5|paragraph [0008]|claim 2|paragraph [0071]|claim 7|paragraph [0033]|claim 8|paragraph [0089]|claim 3|claim 9']",LW6BRWH5GREENX2,e9f36d369c709c66d0c5cf5516c5855a,X,False,,,
"16,21",2020-03-26,ETL_SYS,False,A1,False,2460,16012935,CTFR,2467,AOK,2025-01-13 14:32:11,2400,US,"['c. 112|figure 8|fig. 1|figs. 5a|claim 4|claims 1, 11 and 19|c. 103|fig.3a|claim 1|claims 16 and 21|c. 132|lin 1|fig.4|claim 7|claims 5, 17|fig.8-9|claim 20|claims 1, 11|fig.8|claim 2|claims 1-6, 8-14 and 17-20|fig.3b|claim 3|claims 11 and 19|fig.5a|claim 8|claims 1|claim 9|claims 2-10 and 12-18|claims 6']",K85YXJMDRXEAPX5,a8bef3c674afba92e968d3c8c59410f1,X,True,20130124883,Addepalli; Sateesh K.,US 20130124883 A1
"1-18,21",2020-03-26,ETL_SYS,False,,False,2460,16012935,CTFR,2467,AOK,2025-01-13 14:32:11,2400,,"['c. 112|figure 8|fig. 1|figs. 5a|claim 4|claims 1, 11 and 19|c. 103|fig.3a|claim 1|claims 16 and 21|c. 132|lin 1|fig.4|claim 7|claims 5, 17|fig.8-9|claim 20|claims 1, 11|fig.8|claim 2|claims 1-6, 8-14 and 17-20|fig.3b|claim 3|claims 11 and 19|fig.5a|claim 8|claims 1|claim 9|claims 2-10 and 12-18|claims 6']",K85YXJMDRXEAPX5,f18301fed74df501610f6b059d2c8ed4,X,False,,,
"1-12,16-17,19-40",2021-11-10,ETL_SYS,False,,False,2490,17394330,CTNF,2492,AOK,2025-01-13 14:32:11,2400,,"['col. 18|c. 103|ll. 9-15|claim 1, 2, 12, 16|claims 1, 2 and 17|c. 112|claim 15|claims 19, 20|claim 2|claims 1-43|claim 17|claims 3, 5|claim 8|claims 6, 13, 14|claim 7|claim 11|claim 1|claim 9|claim 3, 4 and 21|claim 6|claim 43|claim 41 and 42|claim 41|claim 39|claim 40|claim 42|claim 4|claim 3|claim 5|col. 18|c. 103|ll. 9-15|claim 1, 2, 12, 16|claims 1, 2 and 17|c. 112|claim 15|claims 19, 20|claim 2|claims 1-43|claim 17|claims 3, 5|claim 8|claims 6, 13, 14|claim 7|claim 11|claim 1|claim 9|claim 3, 4 and 21|claim 6|claim 43|claim 41 and 42|claim 40|claim 41|claim 39|claim 42|claim 4|claim 3|claim 5|col. 18|c. 103|ll. 9-15|claim 1, 2, 12, 16|claims 1, 2 and 17|c. 112|claim 17|claims 19, 20|claim 2|claims 1-43|claim 15|claims 3, 5|claim 8|claims 6, 13, 14|claim 7|claim 11|claim 1|claim 9|claim 3, 4 and 21|claim 6|claim 43|claim 41 and 42|claim 41|claim 39|claim 40|claim 42|claim 4|claim 3|claim 5']",KVR135GDLDFLYX5,834f43626ad09bfc056f1a4edc5ada55,X,False,,,
"1,4-7,10,13,16-18",2024-02-15,ETL_SYS,False,,False,2490,17375412,CTFR,2497,AOK,2025-01-13 14:32:11,2400,,"['pages 7-8|col. 5|c. 103|section 102|line 11-67|figure 2|fig. 2|claim 7|claims 1, 5-6, 7, 11-12, 13 and 17-18|col. 1|c. 112|line 66-67|fig. 4a|claim 5|claims 1|col. 2|c. 102 and 103|line 1|claim 4|claims 7 and 13|claim 1|claims 5-6|claim 6|claims 4, 10 and 16|claims 2-3, 8-9']",LSNBFLDOXBLUEX6,158af2bf1a65697303296e753cb1ddb6,X,False,,,
"4-8,12-13,20-24,28-29",2022-09-28,ETL_SYS,False,,False,2410,17248451,CTNF,2411,AOK,2025-01-13 14:32:11,2400,,"['c. 103|claim1|claims 4-8,12-13,20-24 and 28-29|claims 10 and 26']",L8J0R7TVXBLUEX3,c8f5a2844201ad645a6622d28f50b0bb,X,False,,,
"12,14",2020-04-03,ETL_SYS,False,A1,False,2430,15896676,CTNF,2431,AOK,2025-01-13 14:32:11,2400,US,,K8HJZPMDRXEAPX5,48943368a621655268e70baa586d59f6,X,True,20180160256,Khanduri; Prakash C.,US 20180160256 A1
"2,4,6,9,11-13,15,17,19-21",2024-06-13,ETL_SYS,False,A1,False,2420,18323582,CTNF,2421,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|section 102|fig. 3|figs. 14-16|f.3d|claim 21|claims 2-3, 9, 13-16 and 20-21|c. 102|fig. 5|f.2d|claim 12|claims 1-25|f: 8:00|claim 8|claims 1-20|claim 1|claims 6 and 17|claims 7 and 18|claims 5 and 16|claims 3, 5, 7, 14, 16 and 18|claims 2 and 13|claims 2, 4, 6, 9, 11-13, 15, 17 and 19-21|claims 3 and 14|claims 4 and 15|claims 8 and 10|claims 2 and 6|claims 2, 13 and 19|claims 9 and 20']",LXAKPVDDBLUEX11,5a0468105913415764b8cc90754fa760,X,True,20150271234,O'MALLEY; Meghan,US 20150271234 A1
"8,10",2024-06-13,ETL_SYS,False,A1,False,2420,18323582,CTNF,2421,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|section 102|fig. 3|figs. 14-16|f.3d|claim 21|claims 2-3, 9, 13-16 and 20-21|c. 102|fig. 5|f.2d|claim 12|claims 1-25|f: 8:00|claim 8|claims 1-20|claim 1|claims 6 and 17|claims 7 and 18|claims 5 and 16|claims 3, 5, 7, 14, 16 and 18|claims 2 and 13|claims 2, 4, 6, 9, 11-13, 15, 17 and 19-21|claims 3 and 14|claims 4 and 15|claims 8 and 10|claims 2 and 6|claims 2, 13 and 19|claims 9 and 20']",LXAKPVDDBLUEX11,55b571ca9f0c3f0c97d9a6b67ae0c7f3,X,True,20080163304,Ellis; Michael D.,US 20080163304 A1
1-21,2024-06-13,ETL_SYS,False,,False,2420,18323582,CTNF,2421,AOK,2025-01-13 14:32:11,2400,,"['c. 103|section 102|fig. 3|figs. 14-16|f.3d|claim 21|claims 2-3, 9, 13-16 and 20-21|c. 102|fig. 5|f.2d|claim 12|claims 1-25|f: 8:00|claim 8|claims 1-20|claim 1|claims 6 and 17|claims 7 and 18|claims 5 and 16|claims 3, 5, 7, 14, 16 and 18|claims 2 and 13|claims 2, 4, 6, 9, 11-13, 15, 17 and 19-21|claims 3 and 14|claims 4 and 15|claims 8 and 10|claims 2 and 6|claims 2, 13 and 19|claims 9 and 20']",LXAKPVDDBLUEX11,11d82bb06559b7cabed113aaed55932d,X,False,,,
2-21,2023-05-22,ETL_SYS,False,,False,2490,17991749,CTNF,2499,AOK,2025-01-13 14:32:11,2400,,"['paragraph 0205)|para 0041 and 0047|c. 103|figs. 3, 4a|claim 21|claims 2-21|para 0035, 0039, 0048|claim 2|claims 1-20|para 0074 and 0085)|claim 8|claims 2-20|para 0008, 0038 and 0039|claim 4|claims 8, 9, 10|para 0047, 0053, 0064|claim 13|claims 3-21 11|para 0003 and 0022|claim 12|para 0035 and 0048)|claim 1|para 0017|claim 6|para 0034|claim 7|para 0008 and 0038|claim 5|para 0003 and 0008|claim 9|claim 3|paragraph 0205)|para 0035, 0039, 0048|c. 103|figs. 3, 4a|claim 21|claims 2-21|para 0041 and 0047|claim 2|claims 1-20|para 0074 and 0085)|claim 4|claims 2-20|para 0008, 0038 and 0039|claim 8|claims 8, 9, 10|para 0047, 0053, 0064|claim 13|claims 3-21 11|para 0003 and 0022|claim 12|para 0035 and 0048)|claim 1|para 0017|claim 6|para 0034|claim 7|para 0008 and 0038|claim 5|para 0003 and 0008|claim 9|claim 3|paragraph 0205)|para 0041 and 0047|c. 103|figs. 3, 4a|claim 21|claims 2-21|para 0035, 0039, 0048|claim 2|claims 1-20|para 0074 and 0085)|claim 4|claims 2-20|para 0008, 0038 and 0039|claim 8|claims 3-21|para 0047, 0053, 0064|claim 13|claims 8, 9, 10|para 0003 and 0022|claim 12|para 0035 and 0048)|claim 1|para 0017|claim 6|para 0034|claim 7|para 0008 and 0038|claim 5|para 0003 and 0008|claim 9|claim 3|paragraph 0205)|para 0041 and 0047|c. 103|figs. 3, 4a|claim 21|claims 2-21|para 0035, 0039, 0048|claim 2|claims 1-20|para 0074 and 0085)|claim 4|claims 2-20|para 0008, 0038 and 0039|claim 8|claims 8, 9, 10|para 0047, 0053, 0064|claim 13|claims 3-21 11|para 0003 and 0022|claim 12|para 0035 and 0048)|claim 1|para 0017|claim 6|para 0034|claim 7|para 0008 and 0038|claim 5|para 0003 and 0008|claim 9|claim 3']",LHTE4346GREENX5,c405421e5cbbeb766ee054d195a8ae19,X,False,,,
1-20,2023-01-11,ETL_SYS,False,,False,2440,17451738,CTNF,2442,AOK,2025-01-13 14:32:11,2400,,"['c. 103|claim 9|claims 2-4, 13 and 16-17|c. 119|claim 5|claims 1-20|c. 365|claim 1|claims 7, 14 and 20|c. 112|claim 20|claims 15, 16, 17, 18 and 19|claim 7|claims 1, 2, 3, 5 and 6|claim 2|claims 1-6, 8-13 and 15-19|claim 8|claim 3|claim 6|claim 4|c. 103|claim 9|claims 2-4, 13 and 16-17|c. 119|claim 5|claims 1-20|c. 365|claim 1|claims 7, 14 and 20|c. 112|claim 20|claims 15, 16, 17, 18 and 19|claim 7|claims 1, 2, 3, 5 and 6|claim 8|claims 1-6, 8-13 and 15-19|claim 2|claim 3|claim 6|claim 4|c. 103|claim 5|claims 2-4, 13 and 16-17|c. 119|claim 1|claims 1-20|c. 365|claim 9|claims 7, 14 and 20|c. 112|claim 20|claims 15, 16, 17, 18 and 19|claim 7|claims 1, 2, 3, 5 and 6|claim 8|claims 1-6, 8-13 and 15-19|claim 2|claim 3|claim 6|claim 4']",LCP60131XBLUEX3,d3dfc7416aed889149623562e93b572a,X,False,,,
1,2024-05-28,ETL_SYS,False,A1,False,2460,17658872,CTNF,2464,AOK,2025-01-13 14:32:11,2400,US,"['col. 6|c. 103|section 102|line 62|lines 35-41]|claim 2|claims 20 and 22|col. 23|c. 102|section 151|line 2]|lines 15-41]|claim 16|claims 1-4, 7, 10-13, 15 and 18-25|col. 24|section 122|line 63|lines 12-25|claim 1|claims 5, 6, 8, 9 and 14|col. 5|line 41]|lines 15-41|claim 4|col. 10|line 66|lines 1-11]|claim 7|col. 11|line 11|lines 15|claim 3|col. 7|line 59|lines 3-19]|col. 8|line 22|col. 22|line 3]|line 58]']",LWJC3GHOGREENX5,d306bce933c0cd0f69b149d315f6f565,X,True,20200378802,Yashan; Andre,US 20200378802 A1
"3,5,8,10,20-21,27",2021-05-19,ETL_SYS,False,,False,2470,16305491,CTNF,2473,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0015]|paragraphs [0025]|c. 103|line 4|lines 1-9|fig. 12|f.2d|claim [5]|claims 7, 11, 12, 14, 15, 24|paragraph [0126]|c. 102|line 1|lines 1-11|claim 16|claims 4, 5, 8, 12, 19|paragraph [0305]|c. 119|lines 1-8|claim 12|claims 6, 9, 13, 18, 22, 23, 25, 26|paragraph [0072]|c. 112|lines 1-3|claim 17|claims 1-5, 7, 8, 10-12, 14-17, 19-21, 24, 27|paragraph [0369]|lines 1-29|claim 5|claims 15 and 24|claim 1|claims 5, 20|claim 27|claims 1, 2, 4, 5, 16, 17|claim 21|claims 3, 8, 10|claim 2|claim 7|claim 4|claim 8|claim 3']",KOT1RWHTLDFLYX7,a7e644ae4e1ac3a5658c9bd95f06493f,X,False,,,
"1-2,4-5,16-17,19-21",2021-05-19,ETL_SYS,False,A1,False,2470,16305491,CTNF,2473,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [0015]|paragraphs [0025]|c. 103|line 4|lines 1-9|fig. 12|f.2d|claim [5]|claims 7, 11, 12, 14, 15, 24|paragraph [0126]|c. 102|line 1|lines 1-11|claim 16|claims 4, 5, 8, 12, 19|paragraph [0305]|c. 119|lines 1-8|claim 12|claims 6, 9, 13, 18, 22, 23, 25, 26|paragraph [0072]|c. 112|lines 1-3|claim 17|claims 1-5, 7, 8, 10-12, 14-17, 19-21, 24, 27|paragraph [0369]|lines 1-29|claim 5|claims 15 and 24|claim 1|claims 5, 20|claim 27|claims 1, 2, 4, 5, 16, 17|claim 21|claims 3, 8, 10|claim 2|claim 7|claim 4|claim 8|claim 3']",KOT1RWHTLDFLYX7,c887b06e749b151d26ff0cc013951d61,X,True,20180323917,UM; Jung Sun,US 20180323917 A1
1-20,2024-05-23,ETL_SYS,False,,False,2450,18487499,CTNF,2458,AOK,2025-01-13 14:32:11,2400,,"['col. 25|c. 103|section 102|line 55|lines 63 - 10)|f: 9:00 - 6:00|claim 16|claims 5, 8, 15|col. 26|line 9)|lines 52 - 63)|f.3d|claim 5|claims 1|col. 11|f.2d|claim 1|col. 29|claim 9|claim 2|claim 6|claim 3|claim 7|claim 4|claim 8']",LWGGKWX2GREENX5,0ee6a1f0eba12ff2e5a5aeccc8a9e7a4,X,False,,,
"2-3,9-10,12-13,19-20",2023-05-02,ETL_SYS,False,,False,2490,17179618,CTNF,2498,AOK,2025-01-13 14:32:11,2400,,"['col. 33|c. 103|ll. 18-23|claim 20|claims 8 and 18|claim 14|claims 1, 4, 7, 11, 14|claim 8|claims 5-6 and 15-16|claim 18|claims 2-3, 9-10, 12-13 and 19-20|claim 17|claim 11|claim 19|claim 9|claim 1|claim 2|claim 4|claim 3|claim 6|claim 5|claim 7|col. 33|c. 103|ll. 18-23|claim 20|claims 8 and 18|claim 18|claims 1, 4, 7, 11, 14|claim 8|claims 5-6 and 15-16|claim 14|claims 2-3, 9-10, 12-13 and 19-20|claim 17|claim 11|claim 19|claim 9|claim 1|claim 2|claim 4|claim 3|claim 6|claim 5|claim 7']",LH0M4SQEXBLUEX2,3aa58349695229d6786e5ab96e8e237d,X,True,,,
"1,5-7,11-13,17-18",2024-02-15,ETL_SYS,False,B2,False,2490,17375412,CTFR,2497,AOK,2025-01-13 14:32:11,2400,US,"['pages 7-8|col. 5|c. 103|section 102|line 11-67|figure 2|fig. 2|claim 7|claims 1, 5-6, 7, 11-12, 13 and 17-18|col. 1|c. 112|line 66-67|fig. 4a|claim 5|claims 1|col. 2|c. 102 and 103|line 1|claim 4|claims 7 and 13|claim 1|claims 5-6|claim 6|claims 4, 10 and 16|claims 2-3, 8-9']",LSNBFLDOXBLUEX6,18a18c3b8a6ee13ba00fefab87f01008,X,True,8370632,Lehwany; Belal,US 8370632 B2
1-15,2024-01-09,ETL_SYS,False,,False,2450,17537905,CTNF,2459,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0092]|paragraphs [0092]-[0093]|col. 3|c. 103|section 102|lines 40-61|fig. 1|claim 7|claims (1 and 15)|paragraph [0075]|paragraphs [0028]-[0029] and [0032]|col. 13|c. 102|lines 13-24|fig. 6)|claim 4|claims 2 and 10|paragraph [0018]-[0019] and [0022], [0028]-[0032]|paragraphs [0032], [0045] and [0084]|col. 2|lines 46-50))|claim 11|claims 6-8 and 11-12|paragraph [0029]|paragraphs [0072]-[0074]|claim 10|claims 1, 3-5, 9 and 13|paragraph [0072]|paragraphs [0043]-[0046]|claim 3|claims 1-14)|paragraph [0083]|paragraphs [0018]-[0022], [0025], [0032], [0038] and [0072]|claim 13|claims 6-11 and 13-14|paragraph [0048]|paragraphs [0050]-[0051]))|claim 12|paragraph [0094]|paragraphs [0025] and [0057]|claim 1|paragraph [0077]|paragraphs [0080] and [0083]|claim 2|paragraph [0027]|paragraphs [0050]-[0052]|claim 5|paragraphs [0018]-[0019]|claim 8|paragraphs [0028]-[0029]|claim 6|paragraphs [0062]|claim 9|paragraphs [0029] and [0043]-[0044]|paragraphs [0029]|paragraphs [0043]-[0044]|paragraphs [0033] and [0037]|paragraphs [0072] and [0075]-[0077]|paragraphs [0027]-[0028]']",LR12DOY9GREENX3,2127030fff7b087ad6f3ef8c162e881a,X,False,,,
